time,input,velocity
0.1,0.0,0.16
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.1,0.0,0.0
1.2,0.0,0.0
1.3,0.0,0.0
1.4,0.0,0.0
1.5,0.0,0.0
1.6,0.0,0.0
1.7,0.0,0.0
1.8,0.0,0.0
1.9,0.0,0.0
2.0,0.0,0.0
2.1,0.0,0.0
2.2,0.0,0.0
2.3,0.0,0.0
2.4,0.0,0.0
2.5,0.0,0.0
2.6,0.0,0.0
2.7,0.0,0.0
2.8,0.0,0.0
2.9,0.0,0.0
3.0,0.0,0.0
3.1,0.0,0.0
3.2,0.0,0.0
3.3,0.0,0.0
3.4,0.0,0.0
3.5,0.0,0.0
3.6,0.0,0.0
3.7,0.0,0.0
3.8,0.0,0.0
3.9,0.0,0.0
4.0,0.0,0.0
4.1,0.0,0.0
4.2,0.0,0.0
4.3,0.0,0.0
4.4,0.0,0.0
4.5,0.0,0.0
4.6,0.0,0.0
4.7,0.0,0.0
4.8,0.0,0.0
4.9,0.0,0.0
5.0,200.0,0.0
5.1,200.0,7.18
5.2,200.0,12.4
5.3,200.0,13.87
5.4,200.0,14.36
5.5,200.0,14.36
5.6,200.0,14.52
5.7,200.0,14.52
5.8,200.0,14.52
5.9,200.0,14.52
6.0,200.0,14.52
6.1,200.0,14.52
6.2,200.0,14.52
6.3,200.0,14.36
6.4,200.0,14.36
6.5,200.0,14.36
6.6,200.0,14.52
6.7,200.0,14.52
6.8,200.0,14.52
6.9,200.0,14.52
7.0,200.0,14.52
7.1,200.0,14.52
7.2,200.0,14.52
7.3,200.0,14.52
7.4,200.0,14.52
7.5,200.0,14.36
7.6,200.0,14.52
7.7,200.0,14.52
7.8,200.0,14.52
7.9,200.0,14.52
8.0,200.0,14.52
8.1,200.0,14.36
8.2,200.0,14.52
8.3,200.0,14.52
8.4,200.0,14.52
8.5,200.0,14.52
8.6,200.0,14.52
8.7,200.0,14.52
8.8,200.0,14.36
8.9,200.0,14.52
9.0,200.0,14.52
9.1,200.0,14.52
9.2,200.0,14.52
9.3,200.0,14.52
9.4,200.0,14.36
9.5,200.0,14.52
9.6,200.0,14.52
9.7,200.0,14.52
9.8,200.0,14.52
9.9,200.0,14.36
10.0,210.0,14.52
10.1,210.0,14.69
10.2,210.0,14.52
10.3,210.0,14.52
10.4,210.0,14.69
10.5,210.0,14.69
10.6,210.0,14.69
10.7,210.0,14.69
10.8,210.0,14.69
10.9,210.0,14.85
11.0,210.0,14.69
11.1,210.0,14.69
11.2,210.0,14.69
11.3,210.0,14.85
11.4,210.0,14.69
11.5,210.0,14.69
11.6,210.0,14.69
11.7,210.0,14.69
11.8,210.0,14.85
11.9,210.0,14.69
12.0,210.0,14.69
12.1,210.0,14.69
12.2,210.0,14.69
12.3,210.0,14.85
12.4,210.0,14.69
12.5,210.0,14.69
12.6,210.0,14.69
12.7,210.0,14.69
12.8,210.0,14.69
12.9,210.0,14.69
13.0,210.0,14.69
13.1,210.0,14.69
13.2,210.0,14.69
13.3,210.0,14.69
13.4,210.0,14.85
13.5,210.0,14.69
13.6,210.0,14.69
13.7,210.0,14.69
13.8,210.0,14.69
13.9,210.0,14.69
14.0,210.0,14.69
14.1,210.0,14.69
14.2,210.0,14.69
14.3,210.0,14.69
14.4,210.0,14.69
14.5,210.0,14.69
14.6,210.0,14.69
14.7,210.0,14.69
14.8,210.0,14.69
14.9,210.0,14.69
15.0,220.0,14.69
15.1,220.0,14.69
15.2,220.0,15.01
15.3,220.0,15.01
15.4,220.0,15.01
15.5,220.0,14.85
15.6,220.0,15.01
15.7,220.0,15.01
15.8,220.0,14.85
15.9,220.0,15.01
16.0,220.0,15.01
16.1,220.0,14.85
16.2,220.0,15.01
16.3,220.0,15.01
16.4,220.0,14.85
16.5,220.0,15.01
16.6,220.0,15.01
16.7,220.0,14.85
16.8,220.0,15.01
16.9,220.0,15.01
17.0,220.0,14.85
17.1,220.0,15.01
17.2,220.0,15.01
17.3,220.0,14.85
17.4,220.0,15.01
17.5,220.0,15.01
17.6,220.0,14.85
17.7,220.0,15.01
17.8,220.0,15.01
17.9,220.0,14.85
18.0,220.0,15.01
18.1,220.0,15.01
18.2,220.0,14.85
18.3,220.0,15.01
18.4,220.0,15.01
18.5,220.0,14.85
18.6,220.0,15.01
18.7,220.0,15.01
18.8,220.0,14.85
18.9,220.0,15.01
19.0,220.0,15.01
19.1,220.0,14.85
19.2,220.0,15.01
19.3,220.0,15.01
19.4,220.0,14.85
19.5,220.0,15.01
19.6,220.0,15.01
19.7,220.0,14.85
19.8,220.0,15.01
19.9,220.0,15.01
20.0,0.0,14.85
20.1,0.0,13.55
20.2,0.0,10.61
20.3,0.0,8.0
20.4,0.0,5.55
20.5,0.0,3.43
20.6,0.0,1.47
20.7,0.0,0.0
20.8,0.0,0.0
20.9,0.0,0.0
21.0,0.0,0.0
21.1,0.0,0.0
21.2,0.0,0.0
21.3,0.0,0.0
21.4,0.0,0.0
21.5,0.0,0.0
21.6,0.0,0.0
21.7,0.0,0.0
